
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.075424,-0.0807,0.3515,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.075719,-0.0751,0.3532,0.9601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.075997,-0.0585,0.3462,0.9635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.115010,-0.0783,0.3503,0.9493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.128243,-0.0934,0.3745,0.9075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.137748,-0.0934,0.3745,0.9075,0.0000,0.0000,0.0000,0.1194,-0.1304,0.0257,
0.195403,-0.0773,0.3775,0.8706,0.0000,0.0000,0.0000,0.1194,-0.1304,0.0257,
0.196473,-0.0912,0.3664,0.8899,0.0000,0.0000,0.0000,0.1194,-0.1304,0.0257,
0.197644,-0.0902,0.3603,0.9134,0.0000,0.0000,0.0000,0.1194,-0.1304,0.0257,
0.198248,-0.0863,0.3569,0.9065,0.0000,0.0000,0.0000,0.1194,-0.1304,0.0257,
0.216552,-0.1024,0.3601,0.8899,0.0000,0.0000,0.0000,0.1194,-0.1304,0.0257,
0.217830,-0.1024,0.3601,0.8899,0.0000,0.0000,0.0000,-0.0072,-0.0509,0.0565,
0.219055,-0.1024,0.3601,0.8899,0.0000,0.0000,0.0000,-0.0072,-0.0509,0.0565,
0.243642,-0.1061,0.3701,0.8393,0.0000,0.0000,0.0000,-0.0072,-0.0509,0.0565,
0.261158,-0.0953,0.3747,0.7995,0.0000,0.0000,0.0000,-0.0072,-0.0509,0.0565,
0.276610,-0.0953,0.3747,0.7995,0.0000,0.0000,0.0000,0.0356,0.0011,0.1939,
0.285629,-0.0953,0.3747,0.7995,-0.0684,-0.0508,-0.0099,0.0356,0.0011,0.1939,
0.286728,-0.0956,0.3758,0.7882,-0.0684,-0.0508,-0.0099,0.0356,0.0011,0.1939,
0.315538,-0.1044,0.3703,0.8046,-0.0684,-0.0508,-0.0099,0.0356,0.0011,0.1939,
0.328022,-0.0951,0.3567,0.8491,-0.0684,-0.0508,-0.0099,0.0356,0.0011,0.1939,
0.335760,-0.0951,0.3567,0.8491,-0.0684,-0.0508,-0.0099,-0.2867,-0.0224,0.2822,
0.355696,-0.0951,0.3567,0.8491,-0.1156,0.1137,-0.6588,-0.2867,-0.0224,0.2822,
0.356896,-0.0844,0.3596,0.8664,-0.1156,0.1137,-0.6588,-0.2867,-0.0224,0.2822,
0.357512,-0.1036,0.3574,0.8703,-0.1156,0.1137,-0.6588,-0.2867,-0.0224,0.2822,
0.394428,-0.1218,0.3745,0.9175,-0.1156,0.1137,-0.6588,-0.2867,-0.0224,0.2822,
0.396155,-0.1218,0.3745,0.9175,-0.1156,0.1137,-0.6588,-0.5086,-0.1712,0.2100,
