
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.052175,-0.0286,0.3674,0.8537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.052766,-0.0135,0.3633,0.9126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.100182,-0.0301,0.3525,0.8999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.100802,-0.0154,0.3657,0.9457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.106393,-0.0154,0.3657,0.9457,0.0000,0.0000,0.0000,0.2919,0.0775,0.0238,
0.153830,0.0273,0.3520,0.9557,0.0000,0.0000,0.0000,0.2919,0.0775,0.0238,
0.154402,-0.0010,0.3515,0.8701,0.0000,0.0000,0.0000,0.2919,0.0775,0.0238,
0.154728,-0.0328,0.4178,0.7618,0.0000,0.0000,0.0000,0.2919,0.0775,0.0238,
0.167962,-0.0328,0.4178,0.7618,0.0000,0.0000,0.0000,0.3715,0.6088,-0.0493,
0.168895,-0.1046,0.4374,0.8207,0.0000,0.0000,0.0000,0.3715,0.6088,-0.0493,
0.189203,-0.1181,0.4227,1.0177,0.0000,0.0000,0.0000,0.3715,0.6088,-0.0493,
0.190282,-0.1181,0.4227,1.0177,0.0000,0.0000,0.0000,0.3715,0.6088,-0.0493,
0.234601,-0.1140,0.3977,1.0050,0.0000,0.0000,0.0000,0.3715,0.6088,-0.0493,
0.235633,-0.0675,0.3498,0.9703,0.0000,0.0000,0.0000,0.3715,0.6088,-0.0493,
0.247848,-0.0675,0.3498,0.9703,0.0000,0.0000,0.0000,-0.0160,0.4897,-0.0513,
0.255077,-0.0682,0.3985,1.0207,0.0000,0.0000,0.0000,-0.0160,0.4897,-0.0513,
0.257383,-0.0682,0.3985,1.0207,-0.1955,0.3151,-0.3162,-0.0160,0.4897,-0.0513,
0.300852,-0.0748,0.4195,0.9341,-0.1955,0.3151,-0.3162,-0.0160,0.4897,-0.0513,
0.302177,-0.0172,0.4774,0.8374,-0.1955,0.3151,-0.3162,-0.0160,0.4897,-0.0513,
0.307327,-0.0172,0.4774,0.8374,-0.1955,0.3151,-0.3162,0.3674,-0.3213,-0.0490,
0.328590,-0.0172,0.4774,0.8374,-0.2822,-0.1329,0.6686,0.3674,-0.3213,-0.0490,
0.329743,-0.0795,0.4735,0.8002,-0.2822,-0.1329,0.6686,0.3674,-0.3213,-0.0490,
0.330732,-0.0411,0.4004,0.8613,-0.2822,-0.1329,0.6686,0.3674,-0.3213,-0.0490,
0.353915,-0.0145,0.4364,0.9623,-0.2822,-0.1329,0.6686,0.3674,-0.3213,-0.0490,
0.367582,-0.0145,0.4364,0.9623,-0.2822,-0.1329,0.6686,0.1704,-0.2615,-0.0008,
0.368721,-0.0194,0.4256,0.8842,-0.2822,-0.1329,0.6686,0.1704,-0.2615,-0.0008,
0.398022,-0.0291,0.4310,0.7848,-0.2822,-0.1329,0.6686,0.1704,-0.2615,-0.0008,
0.399138,-0.0291,0.4310,0.7848,-0.1074,0.3065,-0.5305,0.1704,-0.2615,-0.0008,
0.434830,-0.0335,0.4251,0.8082,-0.1074,0.3065,-0.5305,0.1704,-0.2615,-0.0008,
0.435827,-0.0486,0.3907,0.8620,-0.1074,0.3065,-0.5305,0.1704,-0.2615,-0.0008,
0.447579,-0.0486,0.3907,0.8620,-0.1074,0.3065,-0.5305,0.0830,0.4055,0.0205,
0.454885,-0.0910,0.4034,0.8515,-0.1074,0.3065,-0.5305,0.0830,0.4055,0.0205,
0.467926,-0.0638,0.4073,0.8158,-0.1074,0.3065,-0.5305,0.0830,0.4055,0.0205,
0.469495,-0.0638,0.4073,0.8158,0.2054,0.0093,-0.2299,0.0830,0.4055,0.0205,
0.500938,-0.0479,0.3797,0.8479,0.2054,0.0093,-0.2299,0.0830,0.4055,0.0205,
0.508047,-0.0479,0.3797,0.8479,0.2054,0.0093,-0.2299,-0.1463,0.0730,-0.3060,
0.538401,-0.0479,0.3797,0.8479,0.0133,-0.1544,-0.4176,-0.1463,0.0730,-0.3060,
0.539649,-0.0355,0.3559,0.8540,0.0133,-0.1544,-0.4176,-0.1463,0.0730,-0.3060,
0.540379,-0.1174,0.4283,0.8014,0.0133,-0.1544,-0.4176,-0.1463,0.0730,-0.3060,
0.541037,-0.1174,0.4283,0.8014,0.1484,-0.0061,-0.3941,-0.1463,0.0730,-0.3060,
0.555150,-0.2787,0.6603,0.6992,0.1484,-0.0061,-0.3941,-0.1463,0.0730,-0.3060,
0.567894,-0.2787,0.6603,0.6992,0.1484,-0.0061,-0.3941,-0.3587,0.3450,-0.3616,
