
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.098079,-0.0887,0.6230,0.7771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.163153,-0.0607,0.6152,0.7472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.233242,-0.0976,0.6047,0.8117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.236072,-0.0976,0.6047,0.8117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.237757,-0.0976,0.6047,0.8117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.243798,-0.0976,0.6047,0.8117,0.0000,0.0000,0.0000,-0.2320,-0.4776,-0.2676,
0.282511,-0.0976,0.6047,0.8117,0.0000,0.0000,0.0000,0.1595,-0.6234,-0.0394,
0.303383,-0.0165,0.5833,0.8328,0.0000,0.0000,0.0000,0.1595,-0.6234,-0.0394,
0.305264,-0.0165,0.5833,0.8328,-0.2351,-0.0366,0.3002,0.1595,-0.6234,-0.0394,
0.306510,-0.0165,0.5833,0.8328,-0.2143,-0.0491,0.1663,0.1595,-0.6234,-0.0394,
0.363131,-0.0165,0.5833,0.8328,-0.2143,-0.0491,0.1663,0.0670,-0.6678,0.0511,
0.374073,0.0830,0.7019,0.8566,-0.2143,-0.0491,0.1663,0.0670,-0.6678,0.0511,
0.375304,0.0830,0.7019,0.8566,0.2872,-0.2248,0.2804,0.0670,-0.6678,0.0511,
0.376062,0.0830,0.7019,0.8566,-0.0036,-0.1288,0.1637,0.0670,-0.6678,0.0511,
0.442961,0.0830,0.7019,0.8566,-0.0036,-0.1288,0.1637,-0.2262,-0.8017,-0.3361,
0.444370,0.2033,0.9444,1.0601,-0.0036,-0.1288,0.1637,-0.2262,-0.8017,-0.3361,
0.445817,0.2033,0.9444,1.0601,0.5479,0.8424,0.2481,-0.2262,-0.8017,-0.3361,
0.483350,0.2033,0.9444,1.0601,0.5479,0.8424,0.2481,0.4443,-0.7017,-0.9844,
0.513408,0.4197,1.3417,1.5153,0.5479,0.8424,0.2481,0.4443,-0.7017,-0.9844,
0.515210,0.4197,1.3417,1.5153,1.4752,2.5694,1.7962,0.4443,-0.7017,-0.9844,
0.516376,0.4197,1.3417,1.5153,1.1866,1.8928,1.5663,0.4443,-0.7017,-0.9844,
0.564032,0.4197,1.3417,1.5153,1.1866,1.8928,1.5663,1.6900,-0.2581,-1.4606,
0.585509,0.2318,1.4061,1.8763,1.1866,1.8928,1.5663,1.6900,-0.2581,-1.4606,
0.586568,0.2318,1.4061,1.8763,3.0357,4.5042,5.2788,1.6900,-0.2581,-1.4606,
0.587241,0.2318,1.4061,1.8763,2.9153,2.9743,5.1413,1.6900,-0.2581,-1.4606,
0.644083,0.2318,1.4061,1.8763,2.9153,2.9743,5.1413,4.2410,-0.8853,-1.5586,
0.654339,0.1713,1.2184,1.4521,2.9153,2.9743,5.1413,4.2410,-0.8853,-1.5586,
0.656035,0.1713,1.2184,1.4521,1.2231,1.7779,9.0410,4.2410,-0.8853,-1.5586,
0.656739,0.1713,1.2184,1.4521,1.5636,0.1679,9.8360,4.2410,-0.8853,-1.5586,
0.684551,0.1713,1.2184,1.4521,1.5636,0.1679,9.8360,4.5097,0.1771,-1.8856,
0.724923,-0.1367,0.5294,1.1519,1.5636,0.1679,9.8360,4.5097,0.1771,-1.8856,
0.727491,-0.1367,0.5294,1.1519,1.9196,-2.6162,7.2180,4.5097,0.1771,-1.8856,
0.765034,-0.1367,0.5294,1.1519,1.9196,-2.6162,7.2180,4.7146,-0.1707,-2.3191,
0.794955,-0.1367,0.5294,1.1519,0.3171,-9.1534,6.2195,4.7146,-0.1707,-2.3191,
0.797046,-0.3736,-0.0193,0.3289,0.3171,-9.1534,6.2195,4.7146,-0.1707,-2.3191,
0.797996,-0.3736,-0.0193,0.3289,1.4262,-8.5900,8.0719,4.7146,-0.1707,-2.3191,
0.845095,-0.3736,-0.0193,0.3289,1.4262,-8.5900,8.0719,4.3431,-0.3722,-1.8365,
0.865290,-0.3902,-0.1638,0.0181,1.4262,-8.5900,8.0719,4.3431,-0.3722,-1.8365,
0.866676,-0.3902,-0.1638,0.0181,0.1252,-12.6681,2.2321,4.3431,-0.3722,-1.8365,
