"","time","gFx","gFy","gFz","ax","ay","az","wx","wy","wz","gN","gNm","gNsd","dt","switch","pid"
"1",3.466074,-0.0543,0.0536,1.0104,0.0178,0.0181,0.22,0.0746,0.0145,-0.0337,0.22672961,0.478124433,0.314130451444684,NA,1,0
"2",3.508004,-0.0543,0.0536,1.0104,0.0802,-0.1036,0.1928,0.0746,0.0145,-0.0337,0.22672961,0.556685858,0.341332931135224,0.0419300000000002,0,1
"3",3.510333,-0.0582,0.0607,1.0177,0.0802,-0.1036,0.1928,0.0746,0.0145,-0.0337,0.24278502,0.63263314,0.344239418056159,0.00232900000000003,0,1
"4",3.511553,-0.0731,0.0722,1.0436,0.0802,-0.1036,0.1928,0.0746,0.0145,-0.0337,0.29965741,0.706974881,0.33070123040245,0.00122,0,1
"5",3.524162,-0.0941,0.0868,1.0544,0.0802,-0.1036,0.1928,0.0746,0.0145,-0.0337,0.32814841,0.737204914,0.301892597325129,0.0126089999999999,0,1
"6",3.546583,-0.0941,0.0868,1.0544,0.0802,-0.1036,0.1928,0.0751,0.0579,-0.069,0.32814841,0.733476743,0.307680181736269,0.022421,0,1
"7",3.54797,-0.1118,0.0985,1.0842,0.0802,-0.1036,0.1928,0.0751,0.0579,-0.069,0.39769113,0.728445272,0.315360502035523,0.00138699999999981,0,1
"8",3.577639,-0.1274,0.114,1.2155,0.0802,-0.1036,0.1928,0.0751,0.0579,-0.069,0.70666701,0.712023344,0.337963476830253,0.0296690000000002,0,1
"9",3.580062,-0.1289,0.1313,1.3336,0.0802,-0.1036,0.1928,0.0751,0.0579,-0.069,1.01234386,0.66195791,0.374006304182261,0.00242299999999984,0,1
"10",3.58098,-0.1289,0.1313,1.3336,0.051,-0.056,0.2059,0.0751,0.0579,-0.069,1.01234386,0.57938465,0.379169726163658,0.000917999999999974,0,1
"11",3.581771,-0.1289,0.1313,1.3336,0.1443,-0.0494,0.1906,0.0751,0.0579,-0.069,1.01234386,0.494307565,0.366463415822387,0.000790999999999986,0,1
"12",3.710717,0.0198,0.0492,0.8982,-0.5001,-0.1457,1.7375,0.5924,-0.196,0.0418,0.00957591999999996,0.541785526,0.424737706290193,0.128946,0,1
