"","time","gFx","gFy","gFz","ax","ay","az","wx","wy","wz","gN","gNm","gNsd","dt","switch","pid"
"1",1.030239,0.4253,0.5498,0.8938,-0.0827,0.2196,0.904,0.2965,-0.4453,1.2081,0.48203857,0.457940254,0.20301903798675,NA,1,0
"2",1.03187,0.4233,0.5852,0.8004,-0.0827,0.2196,0.904,0.2965,-0.4453,1.2081,0.36228209,0.46964005,0.207875268709175,0.00163100000000016,0,1
"3",1.032804,0.3373,0.5963,0.7423,-0.0827,0.2196,0.904,0.2965,-0.4453,1.2081,0.22035427,0.474137391,0.205770364406227,0.00093399999999999,0,1
"4",1.734559,0.2346,0.3955,0.8794,-0.7438,-0.0335,0.0833,-0.0297,-0.0261,0.6784,0.18480177,0.507331509,0.290996002893741,0.701755,0,1
"5",1.754822,0.2014,0.3999,0.8955,-0.7438,-0.0335,0.0833,-0.0297,-0.0261,0.6784,0.20240222,0.575008872,0.286311623244922,0.0202630000000001,0,1
"6",1.772679,0.2014,0.3999,0.8955,-0.7438,-0.0335,0.0833,-0.0836,-0.1921,1.0038,0.20240222,0.642866359,0.268018149953024,0.0178569999999998,0,1
"7",1.77931,0.1154,0.4794,0.8869,-0.7438,-0.0335,0.0833,-0.0836,-0.1921,1.0038,0.22973313,0.711258803,0.227301208578994,0.00663100000000005,0,1
"8",1.907363,0.5844,0.7913,1.2687,-1.6482,0.6831,0.0566,0.155,0.0032,1.6662,1.77727874,1.935162912,0.238678201632358,0.128053,0,1
"9",1.909909,0.6206,0.7864,1.2595,-1.6482,0.6831,0.0566,0.155,0.0032,1.6662,1.78990957,2.009813377,0.294113600787891,0.00254600000000016,0,1
"10",1.913012,0.6656,0.7879,1.2414,-1.6482,0.6831,0.0566,0.155,0.0032,1.6662,1.80488373,2.083200759,0.323260421861343,0.00310299999999986,0,1
"11",1.91371,0.6656,0.7879,1.2414,-1.6482,0.6831,0.0566,1.1895,0.0025,2.661,1.80488373,2.155090725,0.334239886753086,0.000698000000000087,0,1
"12",1.915165,0.712,0.7844,1.2243,-1.6482,0.6831,0.0566,1.1895,0.0025,2.661,1.82113785,2.214541965,0.317480079735608,0.00145499999999998,0,1
"13",1.918348,0.7623,0.7791,1.1998,-1.6482,0.6831,0.0566,1.1895,0.0025,2.661,1.82761814,2.322041679,0.349822618255667,0.00318299999999994,0,1
"14",1.92038,0.8156,0.7752,1.1637,-1.6482,0.6831,0.0566,1.1895,0.0025,2.661,1.82033609,2.475109883,0.434160885746398,0.00203200000000003,0,1
"15",1.954677,1.0877,0.8869,0.9598,-1.6482,0.6831,0.0566,1.1895,0.0025,2.661,2.09089894,2.631103653,0.452611372194322,0.034297,0,1
"16",1.972997,1.0877,0.8869,0.9598,-1.6482,0.6831,0.0566,2.449,-0.1109,2.7789,2.09089894,2.760041138,0.46510446855167,0.0183199999999999,0,1
"17",2.004019,1.0107,0.8993,1.2221,-1.6482,0.6831,0.0566,2.449,-0.1109,2.7789,2.52378339,2.888978623,0.436855940033377,0.0310220000000001,0,1
"18",2.006363,1.0107,0.8993,1.2221,-2.94,2.2712,3.7989,2.449,-0.1109,2.7789,2.52378339,2.957660345,0.426938632856586,0.0023439999999999,0,1
"19",2.007395,1.0107,0.8993,1.2221,-3.4089,1.7989,4.2068,2.449,-0.1109,2.7789,2.52378339,3.027422846,0.404575926812744,0.00103199999999992,0,1
"20",2.03289,1.0107,0.8993,1.2221,-3.4089,1.7989,4.2068,2.6896,0.1905,1.2241,2.52378339,3.118707212,0.380584659756626,0.0254950000000003,0,1
"21",2.033685,0.9318,0.9292,1.2115,-3.4089,1.7989,4.2068,2.6896,0.1905,1.2241,2.39939613,3.209991578,0.327857093500818,0.000795000000000101,0,1
"22",2.037553,1.0811,0.9287,1.2903,-3.4089,1.7989,4.2068,2.6896,0.1905,1.2241,2.89613499,3.340820534,0.207333535731382,0.00386799999999976,0,1
"23",2.074786,1.2835,1.0005,1.2377,4.7511,3.6595,3.606,2.6896,0.1905,1.2241,3.38027379,3.501435671,0.217677120051996,0.0372330000000001,0,1
"24",2.113861,1.2835,1.0005,1.2377,4.7511,3.6595,3.606,3.9241,-0.2225,0.6908,3.38027379,3.513202838,0.213540856179402,0.039075,0,1
"25",2.115153,1.2874,1.0108,1.1539,4.7511,3.6595,3.606,3.9241,-0.2225,0.6908,3.21060061,3.463595261,0.291312182227514,0.00129199999999985,0,1
"26",2.123371,1.273,0.9822,1.1984,4.7511,3.6595,3.606,3.9241,-0.2225,0.6908,3.2214084,3.430955002,0.337442355899548,0.00821800000000028,0,1
"27",2.143462,1.3436,0.9328,1.2495,4.7511,3.6595,3.606,3.9241,-0.2225,0.6908,3.43662705,3.34489226,0.477505182676198,0.0200909999999999,0,1
"28",2.144206,1.3436,0.9328,1.2495,5.4803,3.0132,6.7222,3.9241,-0.2225,0.6908,3.43662705,3.206109248,0.626359976717081,0.000744000000000078,0,1
"29",2.174154,1.4707,0.9088,1.2324,5.4803,3.0132,6.7222,3.9241,-0.2225,0.6908,3.70768569,3.01312964,0.816015951771002,0.0299480000000001,0,1
"30",2.174954,1.4707,0.9088,1.2324,5.4803,3.0132,6.7222,4.4648,-1.2485,0.0559,3.70768569,2.793044168,0.900314125964447,0.000799999999999912,0,1
"31",2.190116,1.5866,0.849,1.1526,5.4803,3.0132,6.7222,4.4648,-1.2485,0.0559,3.76658732,2.572958696,0.920657304791191,0.0151620000000001,0,1
"32",2.214208,1.5866,0.849,1.1526,6.4687,1.8346,8.0417,4.4648,-1.2485,0.0559,3.76658732,2.306492193,0.922414928285964,0.024092,0,1
"33",2.215059,1.6524,0.7717,0.9859,6.4687,1.8346,8.0417,4.4648,-1.2485,0.0559,3.49794546,2.04002569,0.834446629572023,0.000850999999999935,0,1
"34",2.215704,1.5524,0.6945,0.8899,6.4687,1.8346,8.0417,4.4648,-1.2485,0.0559,2.88419802,1.75639199,0.762797034667961,0.000645000000000007,0,1
"35",2.234061,1.5524,0.6945,0.8899,6.4687,1.8346,8.0417,4.5394,-1.9281,-1.1238,2.88419802,1.489510974,0.790725852565918,0.018357,0,1
"36",2.253603,1.4155,0.5948,0.8963,6.4687,1.8346,8.0417,4.5394,-1.9281,-1.1238,2.36078098,1.21633885,0.724454181634023,0.0195419999999999,0,1
"37",2.255982,1.3794,0.4936,0.8381,6.4687,1.8346,8.0417,4.5394,-1.9281,-1.1238,2.04879693,0.99550843,0.671474225754643,0.00237899999999991,0,1
"38",2.284307,1.2701,0.3936,0.734,6.4687,1.8346,8.0417,4.5394,-1.9281,-1.1238,1.50683097,0.805876415,0.60549166525276,0.0283250000000002,0,1
