"","time","gFx","gFy","gFz","ax","ay","az","wx","wy","wz","gN","gNm","gNsd","dt","switch","pid"
"1",0.303383,-0.0165,0.5833,0.8328,0,0,0,0.1595,-0.6234,-0.0394,0.23406698,0.518360112,0.400485708128979,NA,1,0
"2",0.305264,-0.0165,0.5833,0.8328,-0.2351,-0.0366,0.3002,0.1595,-0.6234,-0.0394,0.23406698,0.62065684,0.447669263850275,0.00188099999999997,0,1
"3",0.30651,-0.0165,0.5833,0.8328,-0.2143,-0.0491,0.1663,0.1595,-0.6234,-0.0394,0.23406698,0.944494249,0.985347362784074,0.00124600000000002,0,1
"4",0.363131,-0.0165,0.5833,0.8328,-0.2143,-0.0491,0.1663,0.067,-0.6678,0.0511,0.23406698,1.268331658,1.22815518286107,0.056621,0,1
"5",0.374073,0.083,0.7019,0.8566,-0.2143,-0.0491,0.1663,0.067,-0.6678,0.0511,0.43331617,1.592169067,1.34639331301266,0.010942,0,1
"6",0.375304,0.083,0.7019,0.8566,0.2872,-0.2248,0.2804,0.067,-0.6678,0.0511,0.43331617,1.896081557,1.39776922799339,0.00123100000000004,0,1
"7",0.376062,0.083,0.7019,0.8566,-0.0036,-0.1288,0.1637,0.067,-0.6678,0.0511,0.43331617,2.327884954,1.55392562740597,0.000757999999999981,0,1
"8",0.442961,0.083,0.7019,0.8566,-0.0036,-0.1288,0.1637,-0.2262,-0.8017,-0.3361,0.43331617,2.759688351,1.56884297753404,0.066899,0,1
"9",0.44437,0.2033,0.9444,1.0601,-0.0036,-0.1288,0.1637,-0.2262,-0.8017,-0.3361,1.25703426,3.191491748,1.44689637247168,0.00140899999999999,0,1
"10",0.445817,0.2033,0.9444,1.0601,0.5479,0.8424,0.2481,-0.2262,-0.8017,-0.3361,1.25703426,3.540923336,1.34625365355274,0.00144700000000003,0,1
"11",0.48335,0.2033,0.9444,1.0601,0.5479,0.8424,0.2481,0.4443,-0.7017,-0.9844,1.25703426,3.697463576,1.12381371637739,0.037533,0,1
"12",0.513408,0.4197,1.3417,1.5153,0.5479,0.8424,0.2481,0.4443,-0.7017,-0.9844,3.47244107,3.854003816,0.811825365183736,0.030058,0,1
"13",0.51521,0.4197,1.3417,1.5153,1.4752,2.5694,1.7962,0.4443,-0.7017,-0.9844,3.47244107,3.789003375,0.869727537597729,0.00180199999999997,0,1
"14",0.516376,0.4197,1.3417,1.5153,1.1866,1.8928,1.5663,0.4443,-0.7017,-0.9844,3.47244107,3.724002934,0.91891378239016,0.001166,0,1
"15",0.564032,0.4197,1.3417,1.5153,1.1866,1.8928,1.5663,1.69,-0.2581,-1.4606,3.47244107,3.459341313,1.30108151149944,0.047656,0,1
"16",0.585509,0.2318,1.4061,1.8763,1.1866,1.8928,1.5663,1.69,-0.2581,-1.4606,4.75135014,3.194679692,1.54452788415446,0.021477,0,1
"17",0.586568,0.2318,1.4061,1.8763,3.0357,4.5042,5.2788,1.69,-0.2581,-1.4606,4.75135014,2.802127164,1.60268430811828,0.00105900000000003,0,1
"18",0.587241,0.2318,1.4061,1.8763,2.9153,2.9743,5.1413,1.69,-0.2581,-1.4606,4.75135014,2.409574636,1.55215615758047,0.000673000000000035,0,1
"19",0.644083,0.2318,1.4061,1.8763,2.9153,2.9743,5.1413,4.241,-0.8853,-1.5586,4.75135014,1.989627156,1.40973890180162,0.0568419999999999,0,1
"20",0.654339,0.1713,1.2184,1.4521,2.9153,2.9743,5.1413,4.241,-0.8853,-1.5586,2.82243666,1.569679676,1.08334520638363,0.010256,0,1
"21",0.656035,0.1713,1.2184,1.4521,1.2231,1.7779,9.041,4.241,-0.8853,-1.5586,2.82243666,1.342623544,1.0281435405829,0.00169600000000003,0,1
"22",0.656739,0.1713,1.2184,1.4521,1.5636,0.1679,9.836,4.241,-0.8853,-1.5586,2.82243666,1.122438469,0.904334566560175,0.000703999999999927,0,1
"23",0.684551,0.1713,1.2184,1.4521,1.5636,0.1679,9.836,4.5097,0.1771,-1.8856,2.82243666,0.902253394,0.686167823942368,0.0278120000000001,0,1
"24",0.86529,-0.3902,-0.1638,0.0181,1.4262,-8.59,8.0719,4.3431,-0.3722,-1.8365,0.62058591,0.487048908,0.225188922873183,0.180739,0,1
"25",0.867961,-0.3902,-0.1638,0.0181,0.7608,-11.2112,3.3386,4.3431,-0.3722,-1.8365,0.62058591,0.463731275,0.299167577935651,0.00267099999999998,0,1
"26",0.88437,-0.3902,-0.1638,0.0181,0.7608,-11.2112,3.3386,2.5544,-1.1949,-1.115,0.62058591,0.496211305,0.333724725816522,0.016409,0,1
"27",0.936358,-0.3774,-0.2674,-0.1426,0.7608,-11.2112,3.3386,2.5544,-1.1949,-1.115,0.56573172,0.528691335,0.361799401605159,0.051988,0,1
"28",0.93775,-0.3774,-0.2674,-0.1426,0.9776,-11.2591,0.9972,2.5544,-1.1949,-1.115,0.56573172,0.566656784,0.385275967265206,0.00139199999999995,0,1
"29",0.938854,-0.3774,-0.2674,-0.1426,1.2602,-9.9484,1.6223,2.5544,-1.1949,-1.115,0.56573172,0.538624784,0.395415131870603,0.00110399999999999,0,1
"30",0.965004,-0.3774,-0.2674,-0.1426,1.2602,-9.9484,1.6223,2.2514,-0.3355,-0.971,0.56573172,0.510592784,0.403140763694709,0.02615,0,1
"31",1.006425,-0.5048,-0.3432,-0.7,1.2602,-9.9484,1.6223,2.2514,-0.3355,-0.971,0.0626092799999999,0.482560784,0.408589791199511,0.0414209999999999,0,1
"32",1.009456,-0.5048,-0.3432,-0.7,1.5557,-9.7308,0.6682,2.2514,-0.3355,-0.971,0.0626092799999999,0.504841028,0.388737979771202,0.00303100000000001,0,1
"33",1.046064,-0.5048,-0.3432,-0.7,1.5557,-9.7308,0.6682,1.1936,0.762,-1.1116,0.0626092799999999,0.527310431,0.366175421129016,0.0366080000000002,0,1
"34",1.075779,-0.7739,-0.4656,-0.9642,1.5557,-9.7308,0.6682,1.1936,0.762,-1.1116,0.94538621,0.549779834,0.340484535303788,0.0297149999999999,0,1
"35",1.077296,-0.7739,-0.4656,-0.9642,0.5119,-9.3316,-3.9509,1.1936,0.762,-1.1116,0.94538621,0.483971544,0.318407439824678,0.00151699999999999,0,1
"36",1.150003,-0.6838,-0.5568,-0.5548,-2.0439,-8.555,-5.1073,0.0473,0.4053,-0.0668,0.28541172,0.576961737,0.661439933148484,0.0727070000000001,0,1
"37",1.165897,-0.6838,-0.5568,-0.5548,-2.0439,-8.555,-5.1073,-0.9381,0.68,0.7024,0.28541172,0.788503091,0.864838094036295,0.0158939999999999,0,1
"38",1.215915,-0.7081,-0.7463,-0.1701,-2.0439,-8.555,-5.1073,-0.9381,0.68,0.7024,0.28730331,1.000044445,0.979256450613858,0.0500180000000001,0,1
"39",1.218598,-0.7081,-0.7463,-0.1701,-1.3439,-9.1355,-1.0013,-0.9381,0.68,0.7024,0.28730331,1.21139664,1.03483644587804,0.00268299999999999,0,1
"40",1.219824,-0.7081,-0.7463,-0.1701,-1.6444,-9.0394,-0.939,-0.9381,0.68,0.7024,0.28730331,1.862804202,1.99411951132749,0.00122599999999995,0,1
"41",1.246134,-0.7081,-0.7463,-0.1701,-1.6444,-9.0394,-0.939,-1.925,1.4418,1.0764,0.28730331,2.514211764,2.43704312628034,0.0263100000000001,0,1
"42",1.286462,-0.7081,-0.7463,-0.1701,-1.6444,-9.0394,-0.939,-3.6914,2.1004,1.3576,0.28730331,3.165619326,2.63797008917792,0.0403279999999999,0,1
"43",1.288177,-0.8141,-0.8775,0.219,-1.6444,-9.0394,-0.939,-3.6914,2.1004,1.3576,0.68072606,3.817026888,2.65247688050213,0.00171499999999991,0,1
"44",1.289336,-0.8141,-0.8775,0.219,-2.2487,-10.8674,2.5993,-3.6914,2.1004,1.3576,0.68072606,4.429092175,2.55265520772558,0.00115900000000013,0,1
"45",1.358008,-0.7506,-0.7073,1.4619,-2.2487,-10.8674,2.5993,-3.6914,2.1004,1.3576,2.40082526,5.041157462,2.27243614373359,0.0686720000000001,0,1
"46",1.360723,-0.7506,-0.7073,1.4619,-3.6498,-12.3058,5.7836,-3.6914,2.1004,1.3576,2.40082526,5.994990018,2.94370679071586,0.0027149999999998,0,1
"47",1.363018,-0.7506,-0.7073,1.4619,-4.0941,-12.5876,4.9569,-3.6914,2.1004,1.3576,2.40082526,6.948822574,3.18513472435956,0.00229500000000016,0,1
"48",1.368702,-0.7506,-0.7073,1.4619,-4.0941,-12.5876,4.9569,-5.795,2.5202,2.3185,2.40082526,7.90265513,3.09886860889419,0.00568400000000002,0,1
"49",1.427277,0.1663,-0.439,2.7168,-4.0941,-12.5876,4.9569,-5.795,2.5202,2.3185,6.80137893,9.151428832,3.15110719692544,0.0585749999999998,0,1
"50",1.430689,0.1663,-0.439,2.7168,-3.9841,-11.2625,15.4475,-5.795,2.5202,2.3185,6.80137893,9.895989652,3.40365099363534,0.00341200000000019,0,1
"51",1.432657,0.1663,-0.439,2.7168,-4.5762,-11.2674,13.8173,-5.795,2.5202,2.3185,6.80137893,10.643841938,3.46911452798526,0.00196799999999997,0,1
"52",1.446517,0.1663,-0.439,2.7168,-4.5762,-11.2674,13.8173,-5.6051,2.051,4.3794,6.80137893,11.35162809,3.3167331596095,0.01386,0,1
"53",1.486935,0.1663,-0.439,2.7168,-4.5762,-11.2674,13.8173,-4.3685,2.1813,6.2637,6.80137893,12.027745127,2.95556973958603,0.0404179999999998,0,1
"54",1.498178,0.1663,-0.439,2.7168,3.2392,-8.5247,24.0512,-4.3685,2.1813,6.2637,6.80137893,12.681902349,2.32747309130772,0.0112430000000001,0,1
"55",1.500098,2.0904,0.1715,2.8879,3.2392,-8.5247,24.0512,-4.3685,2.1813,6.2637,11.93915082,13.31045661,1.0742883530925,0.00191999999999992,0,1
